"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1958",1958,0,0.4,-0.2,4.599999,11.6,14.2,17.2,16.6,15.1,10.9,5.6,3
"1959",1959,0.8,0.6,5.4,8.6,12,15.9,19.4,18.8,14.7,9.999999,4.9,2.5
"1960",1960,0.6,-0.6,2.8,6.3,12,16,16.2,16.6,13.9,9.400001,6.4,3
"1961",1961,0.09999996,3.8,6.1,9.2,11.1,16.5,15.9,15.8,15.8,11.8,5.2,-0.0999999
"1962",1962,2.5,1.4,0.7,7.1,9.900001,14.1,15.1,15.2,13,10.1,4.5,-1.1
"1963",1963,-5.4,-4.6,0.9000001,6.1,12,15.9,17.9,17,14.2,9.400001,7.5,-0.8
"1964",1964,-0.1,0.2,0,7.9,12.6,16.1,16.8,16.1,14.2,8.299999,5.8,1.9
"1965",1965,1.8,-0.2,2.1,6.4,10,15.3,14.7,15.5,14.6,9.699999,2,1.9
"1966",1966,-1.7,0.09999996,3.5,5,12.3,16.7,16.8,16.3,13.8,10.9,3.9,2.5
"1967",1967,0.6,3,6,6.4,12.3,14.7,18.2,17.3,15.3,11.7,5.6,1.7
"1968",1968,-0.3000001,0.5,4.8,8.5,10.5,16.6,16.3,17.7,15.2,10.7,5.8,-0.5
"1969",1969,-0.3000001,-1.5,0.0999999,6.2,11,15.7,18.4,18.2,15.3,10.9,5.8,-3.3
"1970",1970,-3,-2.3,1.1,4.599999,10.5,16.7,16.5,17.2,13.7,9.8,5.700001,2.7
"1971",1971,0.4,2.6,1.6,6.599999,12.8,14.1,17.9,18.1,13.5,10.3,5,5.1
"1972",1972,-2.3,1.1,4.3,7.1,11.1,14.9,18.5,17.1,12.6,8.7,6,3.2
"1973",1973,1.3,2.9,5.4,5.8,12.1,16.3,18.5,17.5,14.3,8.099999,4,1.5
"1974",1974,3.2,3.7,4.5,7.8,10.7,14.5,15.7,17.4,14.5,7.8,6,5.3
"1975",1975,5.3,1.9,3.8,6.4,11.4,14.7,18.7,20.1,16.4,9.2,4.3,3.8
"1976",1976,0.8,0.2,1,6.2,11.8,16,18.9,17.6,13.9,9.499999,6,0.4
"1977",1977,0.4,1.7,4.9,5.6,11.6,15.8,16.5,16.7,13.1,10.8,6.3,3.4
"1978",1978,1.5,-0.8999999,3.9,5.3,11.6,15.5,15.8,16.6,12.7,10.4,7.2,-0.0999999
"1979",1979,-3.5,-2.8,2.4,5.9,12.3,15.9,14.9,16.2,13.7,8.6,4.9,3.4
"1980",1980,-2.6,0.09999996,1.7,6.2,10.1,15.1,16.5,16.6,14.6,9.1,4.5,2.5
"1981",1981,-0.1,1.1,4.8,6.8,13.2,14.9,16.8,16.8,14.7,8.799999,5.5,-2.2
"1982",1982,-2.6,-0.2,4.4,6.9,11.8,15.4,18.7,18.3,15.6,10.9,6.900001,3.1
"1983",1983,4.900001,0,4.7,7.7,11.8,15.7,19.2,18.5,14.8,10.2,5,1.7
"1984",1984,1.9,0.6,2.1,7.3,11.7,13.9,16.2,18,13.3,11.5,5.5,1.9
"1985",1985,-4.5,-3.6,2.4,6.5,12,14.2,17.4,16.9,13.4,10.4,2.5,3.8
"1986",1986,0,-4.7,2.5,5.3,13,15.5,17.5,16.3,11.9,9.999999,7.5,2.8
"1987",1987,-5.099999,-0.3,-0.5,7.4,9.900001,13.3,16.3,15.6,13.8,10.1,6.2,3
"1988",1988,3.8,3,2.9,7.1,13.1,15.9,17.9,16.9,14.6,9.6,4,3.9
"1989",1989,4.3,4.8,6.7,7.6,13.3,16.3,18.2,17.1,15.7,11.4,4.7,2.9
"1990",1990,4.4,6.4,7.400001,8.6,13.7,16,17,18.4,13.3,10.9,5.5,2.6
"1991",1991,2.7,-0.7,5.6,7.5,10.1,13.3,18.9,18.1,15.2,9.6,5.4,2.9
"1992",1992,2.5,3.9,5.4,7.8,13.8,18.4,19.4,18.5,14.4,7.3,5.6,2.7
"1993",1993,2.5,1.5,4.1,8.7,14.1,15.1,16.1,15.7,12.6,8.6,2,3.2
"1994",1994,3.4,-0.6,4.8,8.5,11.9,14.7,21.1,18.5,14.3,8.6,7.1,4.3
"1995",1995,1,4.5,3.9,7.4,11.6,14.9,19.3,19.7,14.4,12.5,3.9,-1.8
"1996",1996,-2.1,-2.6,0.5000002,7.8,10.1,14.8,16,18.7,12.8,10.3,5.5,-0.5999999
"1997",1997,-1.2,3.9,4.9,6.4,11.2,15.9,18.4,20.5,14.9,8.7,4.4,2.8
"1998",1998,3.3,5.4,4.7,8.299999,13.1,15.7,16.1,16.2,14.6,9.3,2.3,1.3
"1999",1999,2.8,1.4,5,8.6,12.1,15.5,19.3,18,17.6,9.999999,5.6,3.1
"2000",2000,2.7,4.300001,4.9,9.699999,13.9,15.7,16,17,14.3,12,7.6,4.1
"2001",2001,1.9,1.7,2.9,7.1,13,14.4,19.2,18.6,13.7,12.8,5.6,1
"2002",2002,2.9,5.1,5.4,7.9,13.6,16.7,18.5,20.6,16,8.400001,4.8,-0.3
"2003",2003,0.4,-1.2,4.1,7.7,13.3,17.3,19.3,19.2,15.4,7.2,7,3.9
"2004",2004,-0.5,2.5,4.7,8.900001,12.1,14.6,16.5,19,15.1,10.6,5.6,3.8
"2005",2005,3.6,0.6,2.6,8.5,12.4,15.4,18.8,16.8,16.1,11.9,5.9,2.5
"2006",2006,-1.7,0.7,1,7.3,12.4,16.7,21.5,18.1,17.6,13.2,8.1,6.8
"2007",2007,5.400001,2.8,7,10.1,13.6,17.1,17.4,18.1,14.3,9.6,5.4,3.6
"2008",2008,4.1,4.9,4.9,8,13.7,16.4,18.7,18.1,14.4,10.4,6.7,2.9
"2009",2009,0.5,1,4.7,10.3,12.7,14.5,18.8,19.1,15.8,8.5,7.8,1
"2010",2010,-3.3,-0.6,3.9,8.099999,10.1,15.3,21.1,18,14.1,9.2,4.8,-3.3
"2011",2011,1.2,0.3,4,10.8,13.1,16.7,17.3,17.6,15.7,10.6,6,4.8
"2012",2012,2.6,-0.6,6.5,7.7,13.2,14.7,17.7,18.3,14.8,9.699999,6.4,1
"2013",2013,0.8,0.5,-0.3000002,7.2,12.9,15.8,19.3,18.6,14.1,11.7,6.3,5.2
"2014",2014,1.3,4.7,7,9.999999,12.5,15.8,20.5,17.2,16.2,12.9,7.7,4.1
"2015",2015,3.3,2,5.6,8.099999,11.4,14.9,18.1,19.9,14.5,9.6,8.2,7.6
"2016",2016,0.4,3.7,4.5,7.7,14.3,17.5,18.6,17.9,17.9,9.499999,4.7,4.4
"2017",2017,0.5,2.4,6.6,7.2,13.3,16.6,17.3,18,14.4,12.1,6.5,4.200001
"2018",2018,3.5,-0.7,1.2,10.5,15.8,17.6,20.6,20.1,16.2,11.6,6.3,5.1
