"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1959",1959,3.1,2.9,8.900001,12.3,16.6,20.4,23.3,22.5,19.1,14,7.1,4.2
"1960",1960,2.8,1.8,5.5,9.7,16.1,19.8,19.6,19.7,17.4,11.4,8.6,4.4
"1961",1961,2.2,6,9.1,13.1,14.2,20.3,18.8,19,19.4,14.7,7.6,2.4
"1962",1962,4.5,3.4,3.5,10.4,13.1,17.9,18.3,18.1,16.3,13.1,6.5,0.9000001
"1963",1963,-2.4,-2.1,3.9,9.2,16,19.9,21.9,20.4,17.7,12.2,9.5,1.5
"1964",1964,2,2.7,2.3,11.2,16.5,20,20.3,19.6,17.8,11.3,8,4
"1965",1965,3.7,2.1,5.3,9.3,13.5,18.9,17.7,19.3,18,13.4,4.2,3.8
"1966",1966,0.3,2.6,6,7.8,16.3,20.5,20.1,19.8,17,13.3,5.9,4.300001
"1967",1967,2.7,5.1,8.7,9.7,16.2,18.4,21.9,20.7,18.3,14.3,7.8,3.8
"1968",1968,2,2.4,7.8,12.7,14,20.5,19.9,21.6,18.2,13.4,7.5,1.2
"1969",1969,1.6,0.5000002,2.6,9.6,14.3,19.5,22.1,22.1,19.1,13.8,8.2,-1.4
"1970",1970,-0.9000001,-0.1999998,3.3,6.8,14.3,21,19.7,21.1,17.1,12.4,8.1,4.5
"1971",1971,2.6,4.6,4.4,9.900001,17,17.3,21.8,21.9,16.8,13.6,7.3,6.900001
"1972",1972,-0.7,2.9,7.5,9.999999,14.3,18.3,22,20.6,16.2,12.2,7.9,5.1
"1973",1973,3,4.6,8.6,8.7,15.9,20.2,22,22,17.7,11.2,6.5,3.4
"1974",1974,4.900001,5.6,7.8,12.1,14.4,18.1,18.6,21.1,17.6,10.2,7.9,7.3
"1975",1975,7.2,4.5,6.6,9.3,15.2,18.7,22.5,24.4,20.1,11.4,6.5,5.8
"1976",1976,3.3,2.3,3.6,9.7,15.6,20,23,22,17.1,11.6,8.1,2.4
"1977",1977,2.1,3.8,7.4,8.1,15.8,19.1,19.5,19.9,16.4,13.6,8.400001,5.2
"1978",1978,3.2,1.5,6.5,8.6,15.8,19.2,18.9,20,15.1,13,9.2,1.8
"1979",1979,-1.6,-0.3999999,4.6,8.799999,16.2,19.4,17.8,19.6,17.1,11.9,6.8,5.2
"1980",1980,-0.3999999,1.9,4.1,9.7,14.4,18.5,19.3,19.6,17.9,11.8,6.6,4.5
"1981",1981,2,2.9,7.3,10.5,17.3,17.7,19.8,20.2,18.1,11.5,7.9,0
"1982",1982,-0.0999999,1.9,7.5,10.7,15.6,19,22.9,22.2,19.6,13.6,9.3,5.1
"1983",1983,6.800001,2.4,7,10.7,14.9,19.6,23.5,22.8,17.9,13,7.6,3.9
"1984",1984,3.8,2.3,5,11.1,15.4,16.6,19.1,21.7,16,14,7.5,3.5
"1985",1985,-2,-0.8999999,4.5,9.5,16.2,17.5,20.9,20.4,16.5,13.3,4.7,5.9
"1986",1986,2.2,-1.9,5.2,8.1,17,19.3,21.2,20,15,13,9.7,4.8
"1987",1987,-2.3,1.8,2.4,10.7,13.4,16.1,19.4,18.4,17,12.9,7.9,4.900001
"1988",1988,5.5,4.8,5.2,10.7,17.4,19.2,21.1,20.4,17.6,12.4,6.6,6
"1989",1989,6.3,7,9.7,10.8,17.8,20.4,22,20.7,19.3,14.3,7.4,5.2
"1990",1990,6.200001,9.1,10.4,12.3,18.1,18.9,20.3,22.3,16,13.9,7.5,4.5
"1991",1991,4.8,1.6,8.6,10.9,13.4,16.1,22.7,21.5,18.9,12.9,7.4,5.1
"1992",1992,4.8,6.1,8.1,10.9,18,22.8,23.3,22,17.6,10.3,7.8,4.4
"1993",1993,5,3.4,7,12.5,18.4,18.5,19,19,15.2,11.4,3.8,5
"1994",1994,5.2,1.4,7.4,11.8,15.6,18,25.6,22.1,16.7,11.6,9.3,6.3
"1995",1995,3.2,6.7,6.7,10.6,15.4,18.2,23.4,24.2,17.2,15.6,6.5,0.2
"1996",1996,-0.3,-0.1999998,2.9,12.1,13.2,18,19.3,22.6,15.9,13.2,7.6,1.6
"1997",1997,1.3,6.3,8.1,9.7,14.9,19.7,22,24.8,18.6,11.8,6.4,4.6
"1998",1998,5.4,7.5,7.7,11.2,17.2,18.9,19.1,19.4,17.3,11.6,4.2,3.3
"1999",1999,5,3.6,7.8,12.2,16.2,19.2,23.3,21.9,21.4,12.8,8,5.1
"2000",2000,4.8,6.4,7.5,13.6,18.6,19.1,18.9,20.7,17.3,14.6,9.6,5.9
