"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1960",1960,56.60001,37.9,13.7,33.7,39.7,55.6,104.1,113,50.5,71.3,72.39999,81
"1961",1961,37.1,45.2,42.3,32.1,54.6,45.1,100.1,86.8,37.8,39.1,32.2,55.7
"1962",1962,55.6,48.3,31.2,38.6,71.5,45.60001,86.90001,87.5,55.1,25,22.3,36.6
"1963",1963,11.7,20.6,29.3,40.4,33.6,40.2,38.3,128,43.7,40.5,93.7,11.4
"1964",1964,16.9,21.8,17.7,45.4,38.8,52.8,39.10001,62.9,51.3,38.7,37.9,46.5
"1965",1965,52.1,23.9,23.5,54.3,66,36.7,120.5,42.5,69.70001,13.6,58.3,86.70001
"1966",1966,47.4,50.1,38,75.6,50.7,72.5,86.70001,74.8,38.9,33.9,49.1,74.5
"1967",1967,58.1,48.4,55.4,38.9,50.8,43.2,62.3,62.4,64.10001,56.3,37.7,71.8
"1968",1968,58.2,18.2,39.4,17.6,64,82.1,76.8,42.2,97.70001,57.1,57.8,20.2
"1969",1969,44,36.4,14.8,50.9,66.3,47.9,31.4,70,12.6,20.8,105.4,18.1
"1970",1970,18.5,36.4,61,101,40.3,31.4,67.8,27.8,57.7,75.7,88.3,38.9
"1971",1971,28.4,21,28.7,18.9,40.5,79.2,39.5,38.7,40.7,31.5,43.8,34.1
"1972",1972,15.9,9,43.6,44.1,82.2,72.60001,53.8,63.7,41.5,10.1,50,13.2
"1973",1973,23.1,37.7,20.7,52.1,43.9,29.9,81.10001,28,62.3,42.9,78.1,46.3
"1974",1974,51.2,33.1,19.7,4.799999,23.7,44.8,84.70001,41.5,51.7,80.4,47.9,96.3
"1975",1975,46.6,11.6,41.1,51.5,41.6,15,64.7,26,61,36.2,30.5,29.3
"1976",1976,80.2,11.7,19,20.5,52.1,15.2,42.7,23.3,45.2,52.9,38.7,32.9
"1977",1977,47,46.2,42.1,67.4,20.2,39.3,70.1,62.2,29.8,27.2,74.89999,35.9
"1978",1978,51.3,22.7,60.9,13.9,18.6,64.9,50.40001,62.8,110.9,36.4,29,69
"1979",1979,35.7,26,58.4,37.8,53.2,33.4,63.7,74.6,36.2,14,67.8,84.90001
"1980",1980,36.1,30.8,21.7,42.9,17.7,111.4,94,83.39999,47,75.09999,58.4,52.5
"1981",1981,56.5,36.8,86.2,13.8,58.9,75.7,73.1,63.7,36,85.9,63,40.6
"1982",1982,54.6,11.8,41.7,23.7,53.9,69.6,28.2,61.3,16.2,53.5,35.4,45.8
"1983",1983,64,30,60.5,83.3,90.3,37.7,7.000004,22.5,50.3,50.8,47.3,53.4
"1984",1984,80.3,28.8,15.7,19.6,48.4,112.9,49.8,33,61.10001,56.60001,41.9,33.9
"1985",1985,43.6,16.8,49.2,53.8,23.7,76.5,64.10001,61.9,54.4,13.3,50.9,87.9
